Time,Diff,Height movement,Sideways movement
21:32:04,36707,185,240
21:32:07,92,185,240
21:32:08,87,185,240
21:32:13,5797,169,237
21:32:14,2763,163,238
21:32:15,2637,152,235
21:32:18,16914,180,244
21:32:19,23766,132,270
21:32:20,21295,108,313
21:32:20,13535,75,320
21:32:21,12058,49,335
21:32:23,46832,186,259
21:32:24,771,187,276
21:32:24,654,192,279
21:32:25,218,191,278
21:32:26,478,191,278
21:32:28,16266,139,253
21:32:30,37049,91,160
21:32:32,35528,51,64
21:32:33,50353,185,177
21:32:34,1259,186,206
21:32:34,390,189,207
21:32:35,141,189,206
21:32:37,3051,189,215
21:32:38,3866,190,227
21:32:39,6361,190,249
22:45:14,83,181,222
22:45:15,94,180,222
22:45:16,74,180,222
22:45:16,93,180,222
22:45:23,106,180,222
22:45:27,7294,181,242
22:59:41,237,181,242
23:08:16,39,0,6
23:09:07,3,0,4
23:09:55,0,0,0
23:10:01,307197,0,6
23:10:04,4,3,6
23:10:06,5,3,6
23:10:08,10,0,5
23:10:09,0,0,5
23:10:10,15,0,5
23:10:13,15,0,5
23:10:15,32,1,222
23:11:00,168,113,388
23:11:06,40565,116,294
23:28:17,135,175,299
23:28:21,5712,173,310
23:38:15,156,174,310
23:38:18,181,174,310
23:38:21,250,175,310
23:38:23,4209,175,303
23:38:24,4761,174,330
23:38:45,12130,176,363
23:38:48,473,175,362
23:38:49,106,175,363
23:38:50,120,174,363
23:38:51,149,174,363
23:38:52,129,175,362
23:38:59,13654,164,359
23:39:07,55569,62,323
23:39:10,21994,83,342
23:39:14,26795,0,266
23:39:16,4995,0,265
23:39:21,48315,185,246
23:39:55,65,184,245
23:40:01,15021,185,288
23:40:04,143,184,288
23:40:04,134,184,288
23:40:11,11500,172,294
23:40:17,3261,173,286
23:40:19,14411,139,290
23:40:20,25843,72,284
23:40:21,23229,10,288
23:40:22,10269,0,284
23:40:23,9457,0,280
23:40:24,18390,0,333
23:40:25,23896,0,443
23:40:26,10447,0,382
23:40:27,48568,0,79
23:40:28,33894,0,0
23:40:31,19930,0,519
23:40:33,48828,169,335
23:40:35,501,168,334
23:42:18,109,168,334
23:42:27,30500,167,396
23:42:30,81948,172,212
23:42:32,635,172,211
23:42:33,137,172,211
23:42:36,4972,171,224
23:42:38,4611,170,233
23:42:39,5888,169,247
23:42:41,12536,176,278
23:42:43,12025,148,281
23:42:46,55146,0,230
23:42:48,17388,38,217
23:42:49,18841,82,206
23:42:50,19660,131,216
23:42:51,6432,138,214
23:42:52,12009,166,208
23:42:53,837,172,210
23:42:55,444,172,210
23:42:56,156,172,210
23:42:56,111,171,210
23:42:57,115,172,210
23:56:46,74,170,190
23:57:02,124,170,190
23:59:15,113,171,190
23:59:25,29250,104,206
23:59:26,18244,65,193
23:59:27,20265,12,191
23:59:28,59619,172,183
23:59:29,565,169,171
23:59:30,11437,147,184
23:59:31,6325,132,188
23:59:33,16490,172,184
23:59:34,495,171,183
00:00:19,279,171,182
00:00:21,10153,150,187
00:00:23,5902,136,192
00:00:36,13854,172,192
00:00:38,114,172,192
00:00:40,66338,0,170
00:00:41,64238,171,177
00:00:42,290,171,176
00:00:45,30077,104,204
00:01:30,32428,178,240
00:01:37,120,179,240
00:01:38,118,179,240
00:01:43,1397,157,235
00:06:33,118,178,238
00:06:56,27857,106,238
00:07:06,25160,180,255
00:08:54,84,181,256
00:08:57,21018,117,255
00:08:59,30284,3,204
00:09:00,48050,187,250
00:09:08,646,186,250
00:12:59,6846,179,225
00:13:00,14389,153,223
00:13:02,16796,93,219
00:13:04,15937,62,221
00:13:05,35302,180,213
00:13:07,971,181,229
00:13:54,97,181,229
00:14:01,10103,152,215
00:15:25,9068,156,211
00:15:26,22255,105,198
00:15:28,25088,28,202
00:15:29,21558,60,159
00:15:30,24776,107,141
00:15:32,16881,175,184
00:15:32,1308,174,154
00:15:33,18653,127,178
00:21:01,12196,150,172
00:21:14,13856,177,188
00:21:23,17459,129,178
00:24:57,97,176,206
00:24:57,1290,175,208
00:25:07,12078,145,211
00:25:48,10465,151,197
00:26:34,13048,150,184
00:27:17,12181,180,184
00:34:09,13109,141,185
00:34:37,14144,177,198
00:34:39,1297,176,169
00:34:42,15728,130,184
00:34:43,21764,78,187
00:34:44,23457,55,220
00:34:45,30829,61,276
00:34:46,38591,78,331
00:34:48,48282,155,377
00:34:49,11265,125,366
00:34:50,36397,92,317
00:34:50,32012,85,267
00:34:51,17057,94,239
00:34:52,26298,83,197
00:36:37,33026,96,223
00:36:54,64901,183,358
00:36:58,790,182,357
00:37:02,48885,120,325
00:40:33,53459,105,367
00:40:39,54329,184,381
00:40:43,9712,184,380
00:40:45,2639,184,381
00:40:49,11089,184,381
00:40:52,28702,184,384
00:40:54,575,184,382
00:40:58,33022,184,302
00:41:09,13060,148,261
00:41:11,287,149,261
00:41:20,6783,135,245
00:41:45,600,134,244
00:41:48,179,134,244
00:41:53,18902,182,226
00:41:56,812,182,224
00:42:00,5344,170,208
00:42:02,6604,154,190
00:42:03,4120,147,180
00:42:04,6883,136,158
00:42:05,5868,127,141
00:42:07,6288,121,124
00:42:08,28881,182,224
00:42:09,276,182,224
00:42:15,29128,9,222
00:42:33,31551,181,214
00:42:39,70274,0,327
00:42:54,64582,175,227
00:43:05,94640,7,6
